landkreis_id,landkreis,benzin_euro1,benzin_euro2,benzin_euro3,benzin_euro4,benzin_euro5,benzin_euro6,benzin_euro6d,benzin_euro6dt,benzin_sonstigeemissionsgruppen,diesel_euro1,diesel_euro2,diesel_euro3,diesel_euro4,diesel_euro5,diesel_euro6,diesel_euro6d,diesel_euro6dt,diesel_sonstigeemissionsgruppen,elektro_euro1,elektro_euro2,elektro_euro3,elektro_euro4,elektro_euro5,elektro_euro6,elektro_euro6dt,elektro_sonstigeemissionsgruppen,gas_euro1,gas_euro2,gas_euro3,gas_euro4,gas_euro5,gas_euro6,gas_euro6d,gas_euro6dt,gas_sonstigeemissionsgruppen,hybrid_euro1,hybrid_euro2,hybrid_euro3,hybrid_euro4,hybrid_euro5,hybrid_euro6,hybrid_euro6d,hybrid_euro6dt,hybrid_sonstigeemissionsgruppen,pih_euro2,pih_euro3,pih_euro4,pih_euro5,pih_euro6,pih_euro6d,pih_euro6dt,pih_sonstigeemissionsgruppen,sonstigeantriebe_euro1,sonstigeantriebe_euro2,sonstigeantriebe_euro3,sonstigeantriebe_euro4,sonstigeantriebe_euro5,sonstigeantriebe_euro6,sonstigeantriebe_euro6dt,sonstigeantriebe_sonstigeemissionsgruppen,anzahl_kfz,benzin,diesel,elektro,gas,hybrid,pih,sonstigeantriebe,euro1,euro2,euro3,euro4,euro5,euro6,euro6d,euro6dt,sonstigeemissionsgruppen,vee,anzahl_personen,unfaelle_je_10k_kfz,anzahl_kfz_je_person
12065,"Oberhavel, Landkreis",1394,6524,5951,27668,19959,18411,94,4177,2653,155,1334,3319,5592,11675,8682,48,1255,372,0,0,0,0,0,0,0,252,17,180,204,689,268,154,0,34,13,0,1,0,70,314,597,10,299,0,0,0,0,6,101,3,66,0,0,0,0,10,22,1,0,1,122575,86831,32432,252,1559,1291,176,34,1566,8039,9474,34029,32244,27946,155,5831,3291,22817,208,74.6,0.5893028846153846
12066,"Oberspreewald-Lausitz, Landkreis",846,3832,3290,15004,10504,9038,33,2186,1011,71,690,1859,3064,6788,5262,15,874,101,0,0,0,0,0,0,0,45,0,48,58,254,94,58,0,18,3,0,0,0,23,111,248,16,172,0,0,0,0,2,31,2,17,0,0,0,0,5,27,0,0,0,65700,45744,18724,45,533,570,52,32,917,4570,5207,18350,17526,14637,66,3267,1160,20858,110,62.0,0.5972727272727273
12067,"Oder-Spree, Landkreis",1094,5560,5181,24349,17658,16207,42,3692,1371,117,1147,2991,4540,10716,8480,48,1269,242,0,0,0,0,0,0,0,140,7,103,139,503,240,102,0,23,6,0,0,1,49,194,318,8,211,1,1,0,0,5,60,0,53,0,0,2,0,8,20,1,0,1,106900,75154,29550,140,1123,782,119,32,1218,6813,8312,29449,28833,25168,98,5248,1761,21886,174,55.5,0.614367816091954
12068,"Ostprignitz-Ruppin, Landkreis",571,3098,2780,13927,8657,6800,41,1767,832,81,838,2150,3392,6767,4509,26,734,191,0,0,0,0,0,0,0,76,3,63,70,284,136,65,0,13,3,0,0,0,13,48,124,6,93,0,0,0,0,1,28,1,30,0,0,0,0,1,16,0,0,2,58237,38473,18688,76,637,284,60,19,655,3999,5000,17617,15625,11526,74,2637,1104,20379,98,70.5,0.5942551020408163
12069,"Potsdam-Mittelmark, Landkreis",1269,5823,5132,26870,20081,19309,130,4816,1963,174,1481,3897,6610,14365,11119,80,1910,354,0,0,0,0,0,0,0,340,13,119,162,577,247,133,0,30,7,0,0,1,69,223,399,7,279,1,0,0,0,12,116,4,112,0,0,0,0,6,31,0,0,2,128273,85393,39990,340,1288,979,244,39,1456,7423,9192,34132,34959,31076,221,7147,2667,24316,214,73.8,0.5994065420560748
12070,"Prignitz, Landkreis",508,2739,2200,10986,6611,5127,23,1459,624,70,596,1528,2542,5528,3614,18,565,116,0,0,0,0,0,0,0,43,3,36,48,164,69,29,0,5,4,0,0,0,15,47,127,1,71,0,0,0,0,2,14,1,16,0,0,0,0,3,11,0,0,0,45563,30277,14577,43,358,261,33,14,581,3371,3776,13710,12268,8911,43,2116,787,20609,75,60.2,0.6075066666666666
12071,"Spree-Neiße, Landkreis",910,4472,3639,17648,11684,9260,29,2148,1237,78,768,2074,3217,6933,4620,10,656,146,0,0,0,0,0,0,0,96,4,63,83,252,74,39,0,7,6,0,0,0,25,95,178,6,111,0,0,0,0,5,30,0,26,0,0,0,0,1,27,0,0,0,70657,51027,18502,96,528,415,61,28,992,5303,5796,21143,18818,14127,45,2948,1485,21348,112,57.5,0.6308660714285714
12072,"Teltow-Fläming, Landkreis",1233,5524,4499,22561,16023,14885,48,3495,1594,127,1194,3003,4933,11094,8384,74,1468,251,0,0,0,0,0,0,0,187,9,117,150,553,236,122,0,26,8,0,0,0,61,192,260,11,265,1,0,0,0,17,91,0,77,0,0,0,1,4,24,0,0,1,102803,69862,30528,187,1221,790,185,30,1369,6835,7653,28112,27586,23742,133,5331,2042,21693,167,71.4,0.6155868263473054
12073,"Uckermark, Landkreis",665,3739,3579,16985,11258,9017,34,2322,1125,89,763,1984,3147,6772,4750,27,687,120,0,0,0,0,0,0,0,91,4,54,85,264,100,68,0,11,2,0,2,0,39,102,288,22,117,0,0,0,0,5,25,2,28,0,0,0,0,1,22,0,0,0,68395,48724,18339,91,588,570,60,23,758,4558,5648,20436,18259,14148,85,3165,1338,19779,119,61.7,0.5747478991596638
13003,"Rostock, kreisfreie Stadt",457,2994,3300,18857,15470,13861,56,4059,628,89,808,1953,3499,8421,7249,58,1566,195,0,0,0,0,0,0,0,140,3,43,51,288,120,149,0,30,8,0,0,1,43,162,322,21,270,1,0,0,0,4,39,4,64,0,0,0,0,8,27,2,0,1,85321,59682,23838,140,692,820,111,38,549,3845,5305,22695,24204,21622,139,5989,973,20129,207,76.2,0.4121787439613527
