landkreis,euro1,euro2,euro3,euro4,euro5,euro6,euro6dt,euro6d,sonstigeemissionsgruppen
"Frankenthal (Pfalz), kreisfreie Stadt",396,1923,2327,7296,6579,6168,1741,42,481
"Kaiserslautern, kreisfreie Stadt",602,3419,3846,12718,11523,12230,3881,190,914
"Landau in der Pfalz, kreisfreie Stadt",445,2027,2142,7079,6556,6388,2257,60,616
"Ludwigshafen am Rhein, kreisfreie Stadt",1124,5657,7024,22977,19309,19974,5773,215,1581
"Mainz, kreisfreie Stadt",1370,5895,6743,24969,23855,26286,8743,200,2342
"Neustadt an der Weinstraße, kreisfreie Stadt",485,2344,2672,8692,8125,7721,2114,48,768
"Pirmasens, kreisfreie Stadt",305,1526,1814,6049,5652,5530,1667,50,409
"Speyer, kreisfreie Stadt",368,1948,2336,7707,7416,6912,2027,73,558
"Worms, kreisfreie Stadt",570,3148,3821,13174,11220,10537,2737,56,695
"Zweibrücken, kreisfreie Stadt",281,1318,1688,5774,5553,4939,1308,41,315
"Alzey-Worms, Landkreis",1027,5560,6602,22802,22481,20382,4736,87,1547
"Bad Dürkheim, Landkreis",1340,6206,7089,22805,23947,21930,5445,164,1876
Donnersbergkreis,614,3276,3926,13469,13633,11463,2708,55,837
"Germersheim, Landkreis",1088,5383,6944,22241,21183,18122,6170,385,1439
"Kaiserslautern, Landkreis",854,4431,5662,18698,17945,16005,3725,128,1028
"Kusel, Landkreis",589,3285,3902,13754,12878,10130,2152,49,666
"Südliche Weinstraße, Landkreis",1248,6202,6521,20593,19572,16440,4241,132,1609
Rhein-Pfalz-Kreis,1703,7115,7793,26547,27132,24140,5615,118,1888
"Mainz-Bingen, Landkreis",1670,8148,10033,35331,37319,35586,9901,276,3049
"Südwestpfalz, Landkreis",848,4377,5307,18180,18402,15181,3551,105,1107
"Stuttgart, kreisfreie Stadt",3689,16485,15542,58288,60393,90960,49767,2962,9281
"Böblingen, Landkreis",2516,12186,13890,54316,58296,71808,35447,2309,6202
"Esslingen, Landkreis",4080,18624,20960,78497,81488,90435,29837,1100,8398
"Göppingen, Landkreis",1716,9217,10943,40921,44105,43784,11910,363,3256
"Ludwigsburg, Landkreis",3821,20124,21718,81233,81867,88946,27902,821,6808
Rems-Murr-Kreis,3326,17124,18201,66532,63717,67850,22011,619,6027
"Heilbronn, kreisfreie Stadt",706,4213,5088,17907,15915,17271,5409,152,1099
"Heilbronn, Landkreis",2796,15239,17057,60039,57019,56845,29550,267,5374
Hohenlohekreis,988,5429,6178,21774,20347,19450,7765,140,1499
"Schwäbisch Hall, Landkreis",1584,8714,10184,35172,34412,29120,7274,175,2710
Main-Tauber-Kreis,928,5802,6927,25424,24614,19685,4313,139,1478
"Heidenheim, Landkreis",834,4699,5904,22790,22739,20672,4984,92,1389
Ostalbkreis,2014,10879,13237,52556,56149,52983,13779,284,3924
"Baden-Baden, kreisfreie Stadt",500,2183,2612,8257,8261,9219,3158,72,830
"Karlsruhe, kreisfreie Stadt",2167,9487,10376,33886,33565,36392,12221,368,3343
"Karlsruhe, Landkreis",3688,18554,21794,73864,73454,65855,17104,343,5412
"Rastatt, Landkreis",2210,11350,12286,40202,36922,33591,11780,681,2812
"Heidelberg, kreisfreie Stadt",1103,4276,4338,14519,14384,15348,4756,166,1829
"Mannheim, kreisfreie Stadt",2297,10168,11275,37306,32758,39455,14578,580,4417
Neckar-Odenwald-Kreis,1019,5686,6845,24904,25413,23104,5787,125,1371
Rhein-Neckar-Kreis,4769,22103,25015,88459,86567,92375,25915,703,6878
"Pforzheim, kreisfreie Stadt",696,3535,4624,16129,15610,15747,4550,123,1078
"Calw, Landkreis",1164,5713,7101,25855,27616,27106,8217,277,2192
Enzkreis,1666,8242,9774,33587,34628,32812,8571,186,2857
