landkreis,euro1,euro2,euro3,euro4,euro5,euro6,euro6dt,euro6d,sonstigeemissionsgruppen
Saale-Holzland-Kreis,0.8712527037134367,4.7403424366775155,6.553599223756292,26.481230669712346,28.007439002203398,25.895004952596572,5.645960096221876,0.14150275930380643,1.6636681558147526
Saale-Orla-Kreis,0.8618810802242872,4.741336609141884,6.469061441223673,26.399318420479084,29.173188563729667,25.050028729369338,5.4407481524043515,0.13473083552931386,1.7297061678983972
"Greiz, Landkreis",0.8789969483879528,4.812922913626111,6.320485604351863,26.4959532970678,28.001857502985274,25.489253018442355,6.05346955021892,0.09121666445535359,1.8558445004643758
"Altenburger Land, Landkreis",0.9762928100507594,5.165405783854218,6.577335226278223,28.267760944397985,26.807211342110893,24.203115579844024,6.5326046792041845,0.11668838367140551,1.353585250588304
"Hamburg, kreisfreie Stadt",1.3294022850150957,5.445936065337306,6.38986018333839,22.964177886982775,22.326024998880868,25.881004133320733,12.678501260886648,0.3261642684121781,2.6589289178260027
"Braunschweig, kreisfreie Stadt",1.0720162447922137,5.072996533977523,5.054791163393201,21.35910093477576,23.237755137765642,26.917340615481567,12.738857963099115,0.48034170080173655,4.066799705913245
"Salzgitter, kreisfreie Stadt",1.1811517573889196,6.547416342551933,7.561880522646209,29.066370333195923,26.558887315613074,22.414998297277435,5.081282598175398,0.09678633520334091,1.4912264979477712
"Wolfsburg, kreisfreie Stadt",0.7059995729841293,2.394135648708277,1.9514625293573413,9.504661589922424,11.416980997793752,15.919863354921358,55.32275282898015,0.25905629492562804,2.525087182406946
"Gifhorn, Landkreis",1.1174691788788091,6.408001860897883,6.173528727611073,24.654105605954875,27.92928588043731,26.096301465457085,5.841358455454757,0.031635264014887185,1.7483135612933238
"Goslar, Landkreis",1.0855205762855504,5.749146289787881,6.641491562601261,25.83937785089359,27.358608140781175,25.600089733044197,6.012113960966126,0.1096737206809741,1.6039781649592462
"Helmstedt, Landkreis",1.3777370623843652,6.65876309029836,6.136049289576261,23.964002802177077,27.321226491350973,26.760791076143775,5.728296599665894,0.1526827252968332,1.9004508631064647
"Northeim, Landkreis",1.303173840415551,6.8041921237500285,7.236676506258438,27.219056772156243,25.833504954120045,23.033797853596027,6.212672478890643,0.0880986705109723,2.2688268003020524
"Peine, Landkreis",1.1133687424993166,7.227985123397379,7.345619600993358,28.77529438325075,26.762437766608443,22.043988165258618,4.922824653334759,0.08555234734253021,1.7229292173148443
"Wolfenbüttel, Landkreis",1.1918153088006855,6.352777331405004,6.607209813059082,26.155659114039313,27.9554341421608,24.3920402806792,5.392629492741978,0.05758208795329156,1.8948524291606408
"Göttingen, Landkreis",1.385419280236503,6.570923649216202,7.060183922591061,26.76204605700946,25.94770314937438,23.99993454712062,5.783852774656645,0.10199740370245121,2.3879392160926813
"Region Hannover, Landkreis",1.2799860458435084,6.523397153078466,6.973658109485406,26.450137831496722,24.765207636480543,25.009063361446852,6.993494900576636,0.11474557605357302,1.890309385538295
"Diepholz, Landkreis",1.0268927775919614,6.206189822161813,7.672162879569602,28.435607489272062,27.187395478255922,22.39949900726582,5.165775933846187,0.10318742394375217,1.803289188092883
"Hameln-Pyrmont, Landkreis",1.4638917567787861,7.3998804542737595,7.958485029614737,28.06281584524262,25.143726566320705,21.598652393631472,4.923110362440906,0.08911590501548661,3.3603216866815195
"Hildesheim, Landkreis",1.1533753006170806,6.362828503781405,6.931437555540365,27.582821170899646,26.659375213616787,23.930673195831442,5.570504415264823,0.06152163510834643,1.7474630093401027
"Holzminden, Landkreis",1.645374891311618,7.274875705081042,7.669498138363097,26.983702316455975,24.63826276949145,23.033018973089874,5.631730319042204,0.10032773727509867,3.0232091498896394
"Nienburg (Weser), Landkreis",1.1689623032311516,7.77107497928749,8.476594863297432,29.5696975973488,26.620753935376968,20.16880695940348,4.242181027340513,0.056959403479701735,1.9249689312344658
"Schaumburg, Landkreis",1.3578330053304588,7.5289021628410655,7.96206374793556,28.268243717673585,25.90266720729452,21.769830987865543,4.864661728492736,0.06032615682822869,2.285471285738303
"Celle, Landkreis",1.1260087923738495,7.0083079707164595,7.8016323471616715,27.314852896822135,26.882545949750032,22.518347911125737,5.594399203019751,0.039300631552009364,1.714604297478362
"Cuxhaven, Landkreis",0.9617379922422462,6.446437977876035,8.035500502817374,28.29425191948537,27.287020926780215,22.42565485976982,4.681788433604163,0.07821603588360176,1.7893913515411752
"Harburg, Landkreis",1.1326802347299039,5.653158852378026,6.818976008868645,24.80931207750425,27.20179782862789,25.387099495113812,6.328549566810058,0.1012182337418212,2.567207702225596
"Lüchow-Dannenberg, Landkreis",1.5025637697150647,9.27500486791718,10.294022197702343,29.992860388135263,25.118452651392225,18.004803011618094,3.943012916206919,0.045433893684688774,1.8238463036282209
"Lüneburg, Landkreis",1.0970488519032209,6.062182154415164,7.441439358915088,26.25308213900447,26.96197411003236,24.150485436893206,5.950454615503159,0.09824318076745261,1.9850901525658808
"Osterholz, Landkreis",1.0570532395572814,6.394826657086402,7.784886211327742,28.65097898329441,26.84638874687375,22.64304762957538,4.778156996587031,0.10639620842602701,1.7382653272719737
"Rotenburg (Wümme), Landkreis",0.9510181226724498,6.724675809476406,7.533485614739892,27.439094844059692,26.77071575223756,23.097297153167247,5.816320182026646,0.11021144599194746,1.5571810756281608
Heidekreis,1.2089888663737165,7.078618428542155,8.17490494296578,28.2996744154277,26.816329318549215,20.90230186015801,4.654948657817445,0.0637508253455067,2.8004826848204734
"Stade, Landkreis",0.9848914145243548,5.883010224034862,7.066635805671506,26.772445388010503,27.485972879570287,23.70443680014047,6.203858156481208,0.1340857031119057,1.7646636284549015
"Uelzen, Landkreis",1.1179202797449799,6.935344294721227,7.599385408756159,27.510022429048263,26.293202408915107,22.840541829291983,5.976370026314395,0.090069406424951,1.637143916782933
"Verden, Landkreis",1.038762738724566,5.765248875059283,6.930097514141285,27.814086918298653,27.676433504146953,23.014725445060094,5.813832432995176,0.10642112690719384,1.8403914446667977
"Delmenhorst, kreisfreie Stadt",0.8335104247833581,6.365847323557886,8.13440060447215,29.3712072914453,25.04781469150669,22.516587565818988,5.813321999480531,0.10861608934853957,1.8086940095865507
"Emden, kreisfreie Stadt",0.7922642505992767,5.63117051964409,6.931296469345467,27.778003494088487,25.905009547799946,25.315889976841504,6.22841587778816,0.08532076544915289,1.3326290984439118
"Oldenburg (Oldenburg), kreisfreie Stadt",1.1929460580912863,5.959092549161104,6.857748511636299,25.440871369294605,25.82311022911781,25.133050694569725,6.876916832040411,0.2040862348908533,2.5121775211979074
"Osnabrück, kreisfreie Stadt",1.1633913268061327,6.0177032706440325,6.854734568336034,25.999624333779437,23.6141438332042,26.34007184616468,7.707027306238406,0.2946631917541265,2.00864032307295
"Wilhelmshaven, kreisfreie Stadt",0.9159322705218338,6.433805327260125,8.510743637983959,28.178532527973065,25.72531933854837,23.103772650757502,5.735716407565105,0.1361520942667591,1.2600257451232797
"Ammerland, Landkreis",1.0087609511889863,5.966207759699625,7.438047559449313,26.86357947434293,27.618272841051315,23.826032540675847,5.072590738423028,0.10638297872340426,2.100125156445557
"Aurich, Landkreis",1.0223231500921204,6.7243669394575605,7.847808389391147,28.744162132053646,26.918034191696304,22.310296070954198,4.687433051973092,0.08826427867517889,1.657311795706757
"Cloppenburg, Landkreis",0.818792479828292,5.923327636233554,8.32505266505028,29.120791764378552,29.272824834055406,20.704320521483368,3.773997376684288,0.08247545609920903,1.9784172661870503
"Emsland, Landkreis",0.7472538421301717,4.764490497421974,6.868259147632451,27.034149500585347,30.01170697686004,24.059082870451093,4.996139188482327,0.07572172266919072,1.4431962537674048
"Friesland, Landkreis",1.101559528337771,6.96538607835679,8.205401293267402,27.555724610117917,26.785850133130467,22.632179535945227,4.806390262457208,0.10041841004184102,1.8470901483453785
"Grafschaft Bentheim, Landkreis",0.8072259165748018,4.928700970804736,7.451133790879888,26.576816850989175,29.64214169718953,24.159880516340102,4.749712551711059,0.09364294773775232,1.5907447577729574
"Leer, Landkreis",0.9374242644564006,6.877999127526538,8.779991275265377,30.040230720760018,26.881876787358827,20.852115748145994,4.016286171295623,0.07464495177160584,1.5394309534196113
"Oldenburg, Landkreis",0.9838108590669975,6.020299337335682,7.495416471941619,27.631783921103402,27.573066829636556,23.27114114869804,5.066446177996669,0.09226971516219099,1.8657655390588488
"Osnabrück, Landkreis",1.0446950437824567,6.42331008408839,7.28374942963301,28.880777002802947,26.793125176542166,22.771657649436154,5.022271472959173,0.09299697977098408,1.687417160984725
"Vechta, Landkreis",0.9740667572598234,5.515524545797124,7.14734329858058,27.863105365931645,28.711559762935217,23.391305340809172,4.732160190017243,0.12218656861289695,1.5427481700562973
