landkreis,benzin,diesel,elektro,gas,hybrid,pih,sonstigeantriebe
"Bad Tölz-Wolfratshausen, Landkreis",48218,30276,279,474,711,222,17
"Dachau, Landkreis",59266,31180,311,640,865,200,16
"Ebersberg, Landkreis",52828,30004,399,467,826,274,14
"Eichstätt, Landkreis",51151,31497,231,554,629,105,10
"Erding, Landkreis",53638,33377,312,508,1181,171,17
"Freising, Landkreis",64148,42372,629,750,964,221,19
"Fürstenfeldbruck, Landkreis",80945,39343,438,769,1137,317,18
"Garmisch-Partenkirchen, Landkreis",33046,17930,137,309,394,94,13
"Landsberg am Lech, Landkreis",48836,30763,456,643,816,189,18
"Miesbach, Landkreis",39917,24607,266,291,603,174,15
"Mühldorf am Inn, Landkreis",45894,26970,232,388,747,116,8
"München, Landkreis",145489,90587,1579,1053,3968,1796,41
"Neuburg-Schrobenhausen, Landkreis",39528,24378,144,444,516,119,8
"Pfaffenhofen an der Ilm, Landkreis",48979,32733,320,672,639,134,10
"Rosenheim, Landkreis",105818,61595,720,988,1144,358,24
"Starnberg, Landkreis",54448,30499,585,458,892,372,14
"Traunstein, Landkreis",72298,41810,457,651,741,213,15
"Weilheim-Schongau, Landkreis",54772,31384,306,623,586,198,9
"Landshut, kreisfreie Stadt",23197,13386,128,242,400,114,9
"Passau, kreisfreie Stadt",17934,9997,95,109,391,69,9
"Straubing, kreisfreie Stadt",17568,9521,60,161,191,59,5
"Deggendorf, Landkreis",46560,30332,173,564,374,131,10
"Freyung-Grafenau, Landkreis",31123,20824,75,239,223,69,4
"Kelheim, Landkreis",46402,32322,233,687,446,127,16
"Landshut, Landkreis",61800,44152,346,788,968,264,13
"Passau, Landkreis",81169,44679,310,519,714,188,32
"Regen, Landkreis",29888,19275,156,248,289,66,5
"Rottal-Inn, Landkreis",49745,31306,213,461,527,141,20
"Straubing-Bogen, Landkreis",40980,26344,146,454,402,81,9
"Dingolfing-Landau, Landkreis",39402,28753,266,466,261,221,4
"Amberg, kreisfreie Stadt",16360,8217,108,129,285,62,5
"Regensburg, kreisfreie Stadt",57040,33320,446,595,1032,328,17
"Weiden in der Oberpfalz, kreisfreie Stadt",16845,8855,50,162,177,40,9
"Amberg-Sulzbach, Landkreis",43725,25141,192,404,368,98,14
"Cham, Landkreis",54384,32939,182,710,341,84,15
"Neumarkt in der Oberpfalz, Landkreis",53646,33642,252,504,588,144,8
"Neustadt an der Waldnaab, Landkreis",40424,23455,122,380,306,104,11
"Regensburg, Landkreis",77626,45425,379,1082,896,234,27
"Schwandorf, Landkreis",59394,38707,184,815,638,154,16
"Tirschenreuth, Landkreis",31488,16700,76,237,193,41,7
"Bamberg, kreisfreie Stadt",25704,14237,208,360,362,97,11
"Bayreuth, kreisfreie Stadt",25577,13193,131,215,404,90,5
"Coburg, kreisfreie Stadt",16412,8164,84,140,233,42,8
"Hof, kreisfreie Stadt",18324,7191,69,126,193,43,6
"Bamberg, Landkreis",63767,35757,258,665,457,119,19
"Bayreuth, Landkreis",46011,24242,140,414,382,78,10
"Coburg, Landkreis",39968,17417,148,444,320,89,5
"Forchheim, Landkreis",50338,25958,284,453,507,160,14
"Hof, Landkreis",42876,19789,104,435,292,71,12
"Kronach, Landkreis",29968,14617,78,228,208,65,20
"Kulmbach, Landkreis",32107,16336,107,342,397,81,9
"Lichtenfels, Landkreis",29472,14392,94,245,127,54,15
"Wunsiedel im Fichtelgebirge, Landkreis",32017,14401,85,218,270,68,16
"Ansbach, kreisfreie Stadt",15973,8918,99,223,256,66,1
"Erlangen, kreisfreie Stadt",35708,18524,221,354,581,177,7
"Fürth, kreisfreie Stadt",42572,19501,208,401,638,151,11
"Nürnberg, kreisfreie Stadt",157492,83383,798,1318,3192,625,37
"Schwabach, kreisfreie Stadt",17684,7747,118,110,495,58,6
"Ansbach, Landkreis",76638,45844,311,950,629,178,25
"Erlangen-Höchstadt, Landkreis",57726,31676,384,551,667,363,26
"Fürth, Landkreis",52590,22586,244,378,557,147,16
"Nürnberger Land, Landkreis",72059,36215,379,564,1270,232,13
"Neustadt an der Aisch-Bad Windsheim, Landkreis",39945,25696,250,505,407,156,21
"Roth, Landkreis",53763,30683,258,431,782,133,16
"Weißenburg-Gunzenhausen, Landkreis",38391,22478,211,449,383,94,12
"Aschaffenburg, kreisfreie Stadt",28419,14008,120,372,402,94,8
"Schweinfurt, kreisfreie Stadt",17276,10587,82,270,314,132,6
"Würzburg, kreisfreie Stadt",40602,21761,267,698,712,194,14
"Aschaffenburg, Landkreis",76854,38183,356,892,871,243,20
"Bad Kissingen, Landkreis",41873,26983,248,654,328,89,14
"Rhön-Grabfeld, Landkreis",30494,22446,397,504,305,85,16
"Haßberge, Landkreis",33036,24017,159,639,223,79,14
"Kitzingen, Landkreis",37880,22067,198,528,513,125,11
"Miltenberg, Landkreis",52893,29678,161,642,964,175,15
"Main-Spessart, Landkreis",52492,30820,201,822,650,137,14
"Schweinfurt, Landkreis",49269,27372,291,777,450,143,24
"Würzburg, Landkreis",68105,35273,397,1182,814,202,17
"Augsburg, kreisfreie Stadt",91300,43170,373,1318,1891,317,27
"Kaufbeuren, kreisfreie Stadt",16561,7991,67,185,267,41,1
"Kempten (Allgäu), kreisfreie Stadt",24551,13950,134,227,396,92,6
"Memmingen, kreisfreie Stadt",16477,9622,68,171,190,62,2
"Aichach-Friedberg, Landkreis",55382,29283,250,676,788,145,10
"Augsburg, Landkreis",109064,51937,470,1167,1790,329,25
"Dillingen an der Donau, Landkreis",40950,22723,138,461,567,87,15
"Günzburg, Landkreis",51453,31346,174,479,495,117,14
"Neu-Ulm, Landkreis",72188,35868,284,712,729,151,21
"Lindau (Bodensee), Landkreis",33701,17713,191,305,295,96,9
"Ostallgäu, Landkreis",56938,32679,307,721,637,156,17
"Unterallgäu, Landkreis",61084,35732,243,642,616,122,21
"Donau-Ries, Landkreis",55637,33932,256,602,840,154,10
"Oberallgäu, Landkreis",62982,36289,347,489,497,194,15
